,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Side_P,Side_S,CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Cab_num
75,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,42,0,7406,0,0,0,0,0,16
76,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,1,16
77,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,8,0,0,0,0,0,0,1,16
78,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,24,0,688,0,0,0,17,1,14
79,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,40,0,0,0,0,0,0,1,5
80,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,43,0,211,0,0,638,513,0,17
81,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,45,0,0,0,0,0,0,1,5
82,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,35,0,0,0,0,0,0,1,15
83,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,26,0,0,0,0,0,0,1,16
84,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,27,0,1,697,31,188,0,0,20
85,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,19,0,0,0,670,1,34,0,9
86,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,9
87,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,3,0,0,0,0,0,0,1,9
88,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,54,0,0,1208,0,3,637,0,2
89,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,26,0,0,856,5,32,0,0,11
90,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,26,0,0,2811,957,0,87,1,11
91,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,23,0,311,427,526,37,0,0,19
92,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,12
93,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,31,0,0,0,0,0,0,1,82
94,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,18,0,0,0,0,830,91,0,23
95,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,24,0,0,0,0,0,17,1,24
96,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,9,0,0,0,0,0,0,1,18
97,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,6,0,0,0,0,0,0,0,18
98,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,27,0,0,0,570,2,131,0,21
99,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,21,0,1743,5,17,0,0,0,2
100,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,23,0,0,0,0,0,0,0,19
101,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,31,0,562,0,326,0,0,0,19
102,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,19
103,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,32,0,0,410,6,3929,764,0,82
104,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,40,0,0,331,0,0,1687,0,5
105,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,42,0,2209,11418,0,1868,445,1,5
106,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,28,0,0,0,0,0,0,1,5
107,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,29,0,0,0,0,0,0,1,6
108,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,48,1,0,2537,87,17,13,1,1
109,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,64,0,0,0,804,0,0,1,23
110,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,27,0,82,157,429,238,1,0,20
111,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,26,0,0,0,0,0,0,1,24
112,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,33,0,1,2223,0,12,404,1,4
113,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,39,0,0,2344,0,65,6898,0,0
114,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,13,0,0,0,0,0,0,1,0
115,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,24,0,0,0,0,0,0,1,25
116,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,29,0,0,0,0,699,74,0,21
117,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,18,0,55,597,49,0,1,0,27
118,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,67,0,0,0,0,0,0,1,27
119,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,35,0,701,0,296,0,25,0,7
120,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,61,1,2353,334,9,316,2,0,3
121,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,45,0,2103,6,0,0,0,0,8
122,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,22,0,0,0,0,0,0,1,22
123,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,19,0,0,0,0,0,0,1,29
124,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,36,0,2738,0,0,0,0,0,5
125,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,19,0,0,14,730,0,0,1,17
126,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,47,0,97,418,126,25,55,0,23
127,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,13,0,0,0,0,0,0,1,18
128,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,34,0,0,22,0,564,207,0,5
129,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,35,0,0,0,0,0,0,1,6
130,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,24,0,0,0,0,0,0,1,19
131,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,26,0,440,0,0,0,462,0,29
132,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,31,0,0,0,97,0,0,0,30
133,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,20,0,0,420,210,0,0,1,31
134,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,56,0,0,0,0,0,0,0,25
135,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,50,0,0,0,0,0,0,1,26
136,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,42,0,1072,0,10,0,76,0,31
137,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,27,0,0,0,0,0,0,1,27
138,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,38,0,0,0,0,0,0,0,20
139,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,41,0,0,0,0,0,607,0,32
140,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,22,0,4119,0,0,0,61,0,22
141,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,26,0,0,0,0,0,0,1,8
142,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,17,0,0,0,0,0,0,1,8
143,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,57,0,50,1688,0,0,135,1,28
144,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,17,0,0,0,0,0,0,0,28
145,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,35,0,0,0,0,0,0,1,37
146,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,13,0,0,0,0,0,0,1,35
147,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,27,0,1365,0,48,22,137,0,35
148,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,31,0,0,0,0,0,0,0,23
149,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,24,0,0,0,0,221,567,0,10
150,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,19,0,0,0,0,0,0,1,30
151,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,32,0,0,0,0,0,0,1,24
152,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,58,0,0,985,0,5,0,1,11
153,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,21,0,287,0,16,115,175,0,38
154,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,38,0,0,10346,1,14970,2111,0,2
155,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,38,0,3414,0,161,28,119,0,6
156,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,19,0,1,219,673,2,11,1,26
157,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,26
158,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,1,26
159,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,20,0,0,0,3,299,92,0,27
160,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,24,0,0,0,0,0,0,1,3
161,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,37,0,17,146,426,0,232,1,36
162,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,25,0,62,0,0,0,956,0,28
163,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,56,0,0,0,0,0,0,1,31
164,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,49,0,84,3,401,202,98,0,8
165,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,11,0,0,0,0,0,0,0,32
166,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,29
167,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,8,0,0,0,0,0,0,0,29
168,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,39,0,0,0,10,898,0,0,29
169,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,1,41
170,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,23,0,0,0,8,1072,0,0,41
171,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,41
172,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,39,0,406,0,867,0,0,1,42
173,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,25,0,1052,0,719,0,7,0,5
174,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,36,0,0,972,0,795,575,0,5
175,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,52,0,0,0,0,0,0,1,30
176,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,18,0,0,0,0,0,0,0,33
177,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,15,0,0,0,0,0,0,1,31
178,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,35,0,0,0,0,0,0,1,3
179,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,47,0,0,0,0,0,0,1,3
180,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,45,0,0,0,0,0,0,1,9
181,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,27,0,0,2433,0,878,443,1,2
182,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,51,0,0,0,0,0,0,1,8
183,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,29,0,0,2,66,0,705,0,34
184,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,27,0,2,1720,12,1125,122,1,9
185,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,19,0,0,0,0,0,0,0,32
186,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,24,0,0,0,0,0,0,1,6
187,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,29,0,902,1,137,0,0,1,44
188,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,11,0,0,0,0,0,0,1,44
189,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,17,0,848,0,307,182,0,0,44
190,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,13,0,192,0,0,51,739,0,9
191,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,35,0,147,188,0,10,387,0,45
192,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,21,0,367,281,0,0,146,0,46
193,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,21,0,0,56,0,0,1918,0,40
194,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,38,0,1517,0,0,27,0,0,47
195,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,19,0,0,0,0,0,0,1,36
196,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,1,37
197,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,37
198,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,13,0,0,0,0,0,0,0,37
199,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,25,0,122,84,0,0,0,0,10
200,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,16,0,0,3,0,0,1099,0,48
201,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,37
202,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,15,0,0,0,0,0,0,1,37
203,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,21,0,2237,0,119,0,0,0,13
204,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,23,0,1215,80,1,2,0,0,13
205,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,33,0,1933,12,188,1,0,0,13
206,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,21,0,0,0,0,0,0,1,13
207,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,41,0,1230,0,301,43,1023,0,13
208,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,16,0,915,0,221,234,0,0,13
209,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,42,0,0,0,0,0,0,0,13
210,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,20,0,1406,0,0,11,0,0,41
211,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,24,0,0,0,0,0,0,1,41
212,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,16,0,0,0,0,0,0,1,14
213,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,21,0,0,2,665,0,9,0,35
214,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,32,1,181,0,5,1634,0,0,42
215,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,58,0,0,0,0,0,0,1,38
216,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,24,0,4,7,0,713,79,0,43
217,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,30,0,85,0,1,1720,0,0,44
218,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,27,0,0,0,0,0,0,0,36
219,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,32,0,56,0,256,1438,0,0,45
220,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,43,0,0,888,0,0,0,0,50
221,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,42,0,0,0,0,0,0,1,11
222,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,37,0,637,0,0,92,319,0,82
223,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,35,0,0,0,0,0,0,1,52
224,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,33,0,0,1249,0,4812,1116,0,11
225,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,18,0,313,1,691,283,0,0,46
226,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,21,0,0,0,0,0,0,0,37
227,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,43,0,0,0,0,0,0,1,82
228,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,14,0,0,0,0,0,0,1,47
229,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,46,0,0,3571,0,0,7,1,6
230,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,33,0,0,86,796,584,10912,0,6
231,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,21,0,2947,0,287,27,0,0,8
232,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,33,0,0,1,0,8620,1063,0,10
233,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,47,0,0,0,0,0,0,0,38
234,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,54,0,0,0,0,0,0,1,11
235,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,30,0,335,695,541,0,0,0,53
236,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,29,0,272,615,0,0,1,0,42
237,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,21,0,702,172,408,2,6,1,54
238,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,24,0,0,0,0,0,0,1,3
239,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,21,0,1664,0,0,0,0,0,49
240,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,60,0,0,0,0,0,0,1,49
241,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,22,0,0,0,313,299,92,0,50
242,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,26,0,0,4810,0,981,2054,0,16
243,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,26,0,66,29,0,0,803,0,56
244,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,28,0,0,0,0,0,0,1,43
245,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,39,0,0,0,0,0,0,1,8
246,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,13,0,118,0,0,754,1,0,51
247,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,47,0,0,231,592,0,0,1,52
248,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,63,0,0,25,128,0,1240,0,59
249,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,27,0,0,0,0,0,0,1,9
